# NumProcesses	AvgTime	Speedup	Efficiency
1	0.114431	1.000000	1.000000
2	0.085662	1.335843	0.667922
3	0.083539	1.369791	0.456597
4	0.076122	1.503258	0.375814
5	0.072768	1.572546	0.314509
6	0.075601	1.513618	0.252270
7	0.077852	1.469853	0.209979
8	0.071207	1.607019	0.200877
9	0.080723	1.417576	0.157508
10	0.073806	1.550430	0.155043
11	0.082421	1.388372	0.126216
12	0.081358	1.406512	0.117209
13	0.082229	1.391614	0.107047
14	0.081231	1.408711	0.100622
15	0.081341	1.406806	0.093787
16	0.044257	2.585602	0.161600
