# Threads	AvgTime	Speedup	Efficiency
1	39.159324	1.000000	1.000000
2	20.984880	1.866073	0.933037
3	14.135074	2.770366	0.923455
4	11.722434	3.340545	0.835136
5	9.981230	3.923296	0.784659
6	8.848799	4.425383	0.737564
7	8.092685	4.838854	0.691265
8	7.307725	5.358620	0.669828
9	8.105750	4.831055	0.536784
10	7.750914	5.052220	0.505222
11	7.224696	5.420203	0.492746
12	7.073503	5.536058	0.461338
13	7.187087	5.448567	0.419121
14	6.733451	5.815639	0.415403
15	6.578488	5.952632	0.396842
16	6.365212	6.152085	0.384505
